timestamp,transaction_count,total_value_transferred_eth,unique_active_wallets,avg_gas_price_gwei,total_gas_used
2025-03-10 23:00:00,52306,96265.9127,22585,2.6725,5426619486
2025-03-11 00:00:00,49654,178116.3154,18912,10.7107,5922845409
2025-03-11 01:00:00,54158,186004.1679,22341,14.7127,5135859211
2025-03-11 02:00:00,50964,131990.1391,21765,3.4883,5297437048
2025-03-11 03:00:00,52318,104381.1221,24857,2.2151,5426747258
2025-03-11 04:00:00,49580,46731.3292,23020,2.1267,5431582382
2025-03-11 05:00:00,46689,71266.0019,20832,3.7837,5425818318
2025-03-11 06:00:00,49981,83422.5926,22119,2.1631,5354507542
2025-03-11 07:00:00,52530,79267.7775,23106,1.8913,5420281156
2025-03-11 08:00:00,52932,266401.7927,22877,2.0449,5417236021
2025-03-11 09:00:00,57873,102341.9812,27840,2.0963,5416824881
2025-03-11 10:00:00,64136,53992.0857,35699,1.7955,5422942281
2025-03-11 11:00:00,56405,89749.3334,27369,3.2081,5387229983
2025-03-11 12:00:00,53786,91370.0501,23665,7.6386,5466507903
2025-03-11 13:00:00,56208,148182.0027,23812,12.6143,5507759998
2025-03-11 14:00:00,58249,220370.7314,24801,6.37,5605507686
2025-03-11 15:00:00,60446,243332.1492,26788,5.3465,5325368338
2025-03-11 16:00:00,59965,118527.108,26661,3.9486,5356395480
2025-03-11 17:00:00,55609,77810.653,25081,2.9674,5367796371
2025-03-11 18:00:00,59323,167296.0861,24736,6.584,5592708379
2025-03-11 19:00:00,61364,107506.2636,27276,4.2564,5263643814
2025-03-11 20:00:00,55375,46072.9871,25072,3.177,5353515494
2025-03-11 21:00:00,54817,59581.1779,26069,2.2597,5415267587
2025-03-11 22:00:00,50357,34801.0254,21700,2.112,5456102536
2025-03-11 23:00:00,49005,86659.276,20461,2.0305,5435882292
2025-03-12 00:00:00,49426,50663.5533,20820,2.3441,5464904606
2025-03-12 01:00:00,44797,53318.3674,18605,2.5731,5466080908
2025-03-12 02:00:00,44275,83589.1002,18577,2.9597,5440841578
2025-03-12 03:00:00,43154,75351.8382,19012,2.1478,5410988286
2025-03-12 04:00:00,44725,69732.3199,19069,2.0486,5448375775
2025-03-12 05:00:00,46688,131739.2418,20713,1.7423,5469186025
2025-03-12 06:00:00,47012,35363.7471,21518,1.8717,5492151781
2025-03-12 07:00:00,49246,171371.1127,21885,2.7616,5453394492
2025-03-12 08:00:00,51327,105905.0809,22124,4.1942,5420807265
2025-03-12 09:00:00,53006,148602.7782,21625,4.2273,5408516286
2025-03-12 10:00:00,54089,48900.9744,24679,1.9462,5454771668
2025-03-12 11:00:00,50909,54159.7248,22919,2.1076,5461021952
2025-03-12 12:00:00,56019,117320.8547,23662,4.6069,5517494207
2025-03-12 13:00:00,56727,172064.6558,24071,3.1375,5485098804
2025-03-12 14:00:00,55085,112699.2861,23430,4.5884,5461591788
2025-03-12 15:00:00,56398,123299.9634,24657,3.0921,5386194148
2025-03-12 16:00:00,59181,102374.6154,25313,2.9024,5362855877
2025-03-12 17:00:00,58881,94442.264,27209,2.364,5466829786
2025-03-12 18:00:00,54383,207937.9203,23877,2.332,5411104947
2025-03-12 19:00:00,53430,68183.943,23567,2.3119,5352502268
2025-03-12 20:00:00,53417,90948.4687,24594,1.9451,5459725669
2025-03-12 21:00:00,48457,73163.0751,21520,2.4625,5434273446
2025-03-12 22:00:00,46039,78115.2705,19964,2.1231,5507503178
2025-03-12 23:00:00,44805,35294.2943,19680,2.0342,5425357069
2025-03-13 00:00:00,44872,36536.4852,18704,2.3018,5478923083
2025-03-13 01:00:00,43400,43763.5014,20050,2.2955,5455302972
2025-03-13 02:00:00,43554,35074.7351,19763,2.1987,5502502468
2025-03-13 03:00:00,42541,103254.5344,18831,2.2029,5454755738
2025-03-13 04:00:00,39506,98922.3046,16610,2.0232,5496309805
2025-03-13 05:00:00,37215,53819.4653,16048,1.8741,5463177655
2025-03-13 06:00:00,37408,70451.999,15657,1.9274,5427649404
2025-03-13 07:00:00,43806,45476.3768,19490,3.7548,5448242428
2025-03-13 08:00:00,49639,99090.9218,21226,4.9994,5474255484
2025-03-13 09:00:00,49014,79116.3434,20367,2.1838,5500667065
2025-03-13 10:00:00,48671,68245.8978,21315,2.3519,5424519154
2025-03-13 11:00:00,48623,65043.5604,21276,2.5553,5434363692
2025-03-13 12:00:00,53476,46937.0826,23047,2.5112,5454334184
2025-03-13 13:00:00,55140,96515.0823,23788,2.6011,5536503570
2025-03-13 14:00:00,62244,76873.1085,27849,3.1108,5374158785
2025-03-13 15:00:00,63300,53725.554,28920,2.7725,5464389940
2025-03-13 16:00:00,64355,153587.0906,28748,2.6013,5447495090
2025-03-13 17:00:00,60504,128222.4801,26236,3.1204,5471119927
2025-03-13 18:00:00,55792,54329.9886,24476,2.5781,5324784082
