timestamp,transaction_count,total_value_transferred_btc,avg_fee_btc,total_size_used_mb
2024-03-07 05:00:00,19228,35251.2902,0.00011232,18.697
2024-03-07 06:00:00,14965,42813.9475,9.254e-05,10.6769
2024-03-07 07:00:00,26292,34598.1365,0.00010604,15.8605
2024-03-07 08:00:00,19030,46374.2476,9.672e-05,11.8421
2024-03-07 09:00:00,17155,55686.7168,0.00011467,11.7513
2024-03-07 10:00:00,14622,116866.6681,9.244e-05,9.2848
2024-03-07 11:00:00,13606,38732.4868,0.00010681,6.728
2024-03-07 12:00:00,23831,53633.4736,9.67e-05,11.7271
2024-03-07 13:00:00,16397,29646.8129,0.00010854,10.5692
2024-03-07 14:00:00,20181,53663.9832,0.00011785,13.7771
2024-03-07 15:00:00,23008,105999.7941,0.00012106,15.804
2024-03-07 16:00:00,21446,80226.5228,0.0001222,20.2294
2024-03-07 17:00:00,15498,49639.3028,0.00012055,10.0396
2024-03-07 18:00:00,11452,35577.1381,0.00014969,6.5034
2024-03-07 19:00:00,21228,69496.2721,0.00012592,13.5959
2024-03-07 20:00:00,13167,59079.3595,0.00017845,15.0355
2024-03-07 21:00:00,15650,55346.402,0.00019899,17.886
2024-03-07 22:00:00,18080,32264.1847,0.0001792,31.6276
2024-03-07 23:00:00,16672,39680.8705,0.00012012,13.5785
2024-03-08 00:00:00,10706,39175.3234,9.579e-05,6.6613
2024-03-08 01:00:00,10489,38477.8181,0.00013222,6.6628
2024-03-08 02:00:00,15630,42071.4533,0.00010149,10.3589
2024-03-08 03:00:00,6646,8865.0258,0.00018548,6.0524
2024-03-08 04:00:00,17839,45957.1216,0.00011505,12.1044
2024-03-08 05:00:00,14012,43154.1451,0.00011385,11.2817
2024-03-08 06:00:00,15172,48103.5499,8.836e-05,10.6758
2024-03-08 07:00:00,9493,10733.3384,0.0001393,5.3466
2024-03-08 08:00:00,38598,115398.1837,9.459e-05,22.6323
2024-03-08 09:00:00,14529,25093.7328,8.481e-05,7.5361
2024-03-08 10:00:00,19449,26924.9199,0.00010591,13.9739
2024-03-08 11:00:00,16905,35443.0368,9.155e-05,8.7969
2024-03-08 12:00:00,34109,48787.6016,8.135e-05,24.1007
2024-03-08 13:00:00,13187,26492.9787,0.00011698,8.0188
2024-03-08 14:00:00,16221,47123.564,0.00011058,8.6006
2024-03-08 15:00:00,12411,74256.3212,0.00019071,6.8786
2024-03-08 16:00:00,29224,87592.4359,0.00012201,18.0865
2024-03-08 17:00:00,23048,83971.0861,0.00012443,14.2913
2024-03-08 18:00:00,15069,46515.7036,0.0001432,11.3107
2024-03-08 19:00:00,11250,57177.0621,0.00012915,7.0275
2024-03-08 20:00:00,9605,58201.6429,0.00014163,4.8036
2024-03-08 21:00:00,30331,100650.8937,0.00012024,16.8596
2024-03-08 22:00:00,19147,38929.3389,0.00011582,12.4898
2024-03-08 23:00:00,23704,52096.6869,9.584e-05,14.1205
2024-03-09 00:00:00,12759,30381.9171,0.00010775,11.682
2024-03-09 01:00:00,12176,16020.2615,0.00011576,11.8476
2024-03-09 02:00:00,9166,17156.1483,0.00011414,5.0751
2024-03-09 03:00:00,16543,27507.4171,0.00011558,10.002
2024-03-09 04:00:00,17518,43651.9863,0.0001147,14.1814
2024-03-09 05:00:00,14745,23606.9568,0.00015949,15.6457
2024-03-09 06:00:00,17979,54621.9464,0.00012712,19.7332
2024-03-09 07:00:00,10965,15412.7248,0.00011579,7.7674
2024-03-09 08:00:00,14961,19550.3764,0.00010764,10.465
2024-03-09 09:00:00,11613,16787.2222,0.0001297,9.5521
2024-03-09 10:00:00,10382,16978.5912,0.0001114,7.6942
2024-03-09 11:00:00,22458,31641.1876,0.0001289,18.7651
2024-03-09 12:00:00,16509,24266.6237,9.755e-05,10.6038
2024-03-09 13:00:00,12018,19858.4535,0.00011128,7.762
2024-03-09 14:00:00,18326,51280.3433,0.00012726,16.5536
2024-03-09 15:00:00,14542,34904.4565,0.00011051,9.0733
2024-03-09 16:00:00,15872,25719.7353,8.789e-05,8.1962
2024-03-09 17:00:00,21693,58504.6874,9.537e-05,13.5886
2024-03-09 18:00:00,12129,25999.8827,0.00011774,8.0083
2024-03-09 19:00:00,25039,32418.3473,8.972e-05,16.4118
2024-03-09 20:00:00,2581,3202.3378,0.00015594,1.4051
2024-03-09 21:00:00,26863,40540.0206,0.00010933,15.336
2024-03-09 22:00:00,10034,14268.8388,0.00014124,6.8674
2024-03-09 23:00:00,11995,33561.2651,9.132e-05,6.8815
2024-03-10 00:00:00,17335,45738.3506,8.606e-05,11.7887
2024-03-10 01:00:00,6944,31420.2386,0.00014268,4.3777
2024-03-10 02:00:00,12619,30584.1139,0.00011665,8.3426
2024-03-10 03:00:00,8963,15137.7847,9.998e-05,4.846
2024-03-10 04:00:00,16249,49545.3572,0.00010367,8.0167
2024-03-10 05:00:00,14199,29051.5177,0.00015904,9.7403
2024-03-10 06:00:00,16592,31285.4343,0.00013178,12.5533
2024-03-10 07:00:00,27931,27301.3058,9.067e-05,20.5633
2024-03-10 08:00:00,13280,20371.6359,9.44e-05,9.3527
2024-03-10 09:00:00,12850,23444.2217,9.281e-05,9.8598
2024-03-10 10:00:00,9247,39155.8331,0.00011067,4.7924
2024-03-10 11:00:00,14448,29503.7933,9.167e-05,8.5481
2024-03-10 12:00:00,17129,47300.8334,9.43e-05,13.3732
2024-03-10 13:00:00,16159,30680.653,9.099e-05,12.4621
2024-03-10 14:00:00,19124,39792.4416,0.00010046,15.2735
2024-03-10 15:00:00,19083,22099.0937,9.139e-05,13.8797
2024-03-10 16:00:00,16384,38660.8707,7.808e-05,8.1609
2024-03-10 17:00:00,13789,25357.6821,9.83e-05,6.6572
2024-03-10 18:00:00,26504,23208.1541,7.831e-05,14.2333
2024-03-10 19:00:00,6151,3743.9992,8.042e-05,3.5757
2024-03-10 20:00:00,24373,36024.0319,0.00010084,13.3943
2024-03-10 21:00:00,19601,20133.4792,8.751e-05,15.2239
2024-03-10 22:00:00,12955,38068.5457,0.00010409,11.1945
2024-03-10 23:00:00,6144,25847.3814,0.00012333,5.0503
2024-03-11 00:00:00,18267,58491.5316,0.0001051,15.7513
2024-03-11 01:00:00,10780,21216.0247,9.373e-05,8.5128
2024-03-11 02:00:00,20472,28393.2116,8.821e-05,15.8014
2024-03-11 03:00:00,16284,36463.0106,6.798e-05,10.9312
2024-03-11 04:00:00,13247,16804.507,0.00011257,16.5242
2024-03-11 05:00:00,16173,38094.8971,7.654e-05,14.1314
2024-03-11 06:00:00,10928,24597.8552,0.0001045,12.8937
2024-03-11 07:00:00,20238,53592.1591,8.226e-05,17.2227
2024-03-11 08:00:00,16650,76127.7357,7.983e-05,13.3513
2024-03-11 09:00:00,9500,35978.2395,9.509e-05,4.8172
2024-03-11 10:00:00,20224,50193.0305,8.6e-05,11.5918
2024-03-11 11:00:00,15315,72924.6966,8.764e-05,8.7264
2024-03-11 12:00:00,19823,40474.3345,7.464e-05,11.4609
2024-03-11 13:00:00,28751,101953.9168,6.632e-05,14.9898
2024-03-11 14:00:00,19633,88072.5106,8.219e-05,13.624
2024-03-11 15:00:00,14740,123175.1721,0.00012105,16.4628
2024-03-11 16:00:00,22484,100867.0366,0.00011753,15.0633
2024-03-11 17:00:00,12963,31227.7799,0.00011203,6.8738
2024-03-11 18:00:00,15771,65519.1659,0.00013891,8.9804
2024-03-11 19:00:00,23016,79405.461,0.00013516,14.5049
2024-03-11 20:00:00,10413,91609.0627,0.00015266,9.174
2024-03-11 21:00:00,16514,59024.5186,0.00013306,10.0559
2024-03-11 22:00:00,13738,37396.6311,0.00020896,13.8081
2024-03-11 23:00:00,8004,25215.5942,0.00018786,9.6084
2024-03-12 00:00:00,10211,37238.8164,0.0001741,10.9279
2024-03-12 01:00:00,14993,47607.1236,0.00012879,10.0887
2024-03-12 02:00:00,4899,18866.7971,0.00012944,3.3244
2024-03-12 03:00:00,13698,68631.5364,0.0001522,12.0181
2024-03-12 04:00:00,6995,17813.7397,0.00017114,6.9877
2024-03-12 05:00:00,16984,29841.0262,0.00010777,12.0289
2024-03-12 06:00:00,5163,10948.9665,0.00017075,7.7168
2024-03-12 07:00:00,16652,68327.2796,0.0001244,14.2784
