timestamp,close_price,volume_base,volume_quote,transaction_count,successful_transaction_count,total_fee_sol,avg_fee_sol,market_cap
2025-02-09 06:00:00,205.098,424053.505,86873706.58,16920269,14816701,743.1445,4.392e-05,100669700865.0
2025-02-09 07:00:00,204.3412,352569.8722,72202562.47,16759243,14651155,591.1332,3.527e-05,99902926195.91
2025-02-09 08:00:00,203.5162,385855.009,78837001.74,16658183,14615080,428.3845,2.572e-05,99580248241.78
2025-02-09 09:00:00,202.3359,373015.6908,75476677.59,16798079,14739047,449.454,2.676e-05,99381696401.32
2025-02-09 10:00:00,202.1889,222312.0885,45011097.03,16682768,14623298,526.4414,3.156e-05,98496207722.31
2025-02-09 11:00:00,201.8273,326868.4197,66163544.44,16784470,14707298,475.81,2.835e-05,98502193926.92
2025-02-09 12:00:00,201.9593,362202.1251,73193276.66,16933036,14865200,591.1048,3.491e-05,98568597782.71
2025-02-09 13:00:00,197.3357,552748.6914,110266733.25,17203668,15096350,670.9842,3.9e-05,98216641379.61
2025-02-09 14:00:00,199.874,519995.4413,103284423.64,17094703,15122287,808.7117,4.731e-05,96206104853.99
2025-02-09 15:00:00,201.0489,447254.5604,89834254.07,17145601,15206579,1031.6036,6.017e-05,97216825503.76
2025-02-09 16:00:00,202.4212,308609.534,62279474.76,17235191,15270953,1251.0697,7.259e-05,97853976954.98
2025-02-09 17:00:00,200.3815,292358.0781,58842046.54,17314975,15404404,1161.5217,6.708e-05,98600639127.18
2025-02-09 18:00:00,200.4857,199327.1357,39842429.65,17414678,15411097,1341.8929,7.706e-05,97507594847.0
2025-02-09 19:00:00,199.4262,230814.9069,46011120.84,17199980,15206171,1249.4589,7.264e-05,97586740307.31
2025-02-09 20:00:00,199.7948,215319.7834,43118584.64,17148380,15142743,1174.8072,6.851e-05,97017296065.9
2025-02-09 21:00:00,195.2763,893067.7889,175122247.67,17282826,15278622,1303.2363,7.541e-05,97281516804.5
2025-02-09 22:00:00,197.376,648952.2724,127612900.15,17257948,15290159,976.6224,5.659e-05,95018902635.08
2025-02-09 23:00:00,200.5322,475570.7899,94536753.45,17369285,15331761,1706.3675,9.824e-05,96487103223.02
2025-02-10 00:00:00,204.3518,721041.0058,147052830.49,17462740,15570914,2126.9695,0.0001218,97771848511.48
2025-02-10 01:00:00,198.738,750436.1008,150739466.29,17066069,15302835,1873.7981,0.0001098,99656384502.12
2025-02-10 02:00:00,199.2474,763603.4962,150890428.66,16853850,15073420,1924.3068,0.00011418,96985520717.32
2025-02-10 03:00:00,202.3064,712240.7072,143905148.09,16791665,14901259,1250.0866,7.445e-05,96789360631.46
2025-02-10 04:00:00,201.356,378119.421,76458286.46,17038062,14962822,1185.4328,6.958e-05,98927510744.94
2025-02-10 05:00:00,202.7972,524552.6139,106442151.12,16763376,14728253,817.6855,4.878e-05,98067998428.49
2025-02-10 06:00:00,203.2517,487444.7926,98848859.96,16674936,14600444,751.8196,4.509e-05,98955810292.7
2025-02-10 07:00:00,203.1092,409057.6179,83203998.27,16743015,14646114,570.243,3.406e-05,99033911137.07
2025-02-10 08:00:00,205.5435,587370.5544,120349752.56,17140354,15005600,635.2803,3.706e-05,99185720699.83
2025-02-10 09:00:00,205.3865,325405.9706,66777559.22,16941252,14717771,656.6543,3.876e-05,100165821746.05
2025-02-10 10:00:00,204.4073,369806.9854,75649478.54,16928332,14823558,562.8292,3.325e-05,99764716387.04
2025-02-10 11:00:00,204.8164,281508.4414,57685840.34,17176261,14969908,761.3875,4.433e-05,99546890120.34
2025-02-10 12:00:00,203.1477,328075.1693,66917175.51,16886448,14819249,645.2365,3.821e-05,99914882517.35
2025-02-10 13:00:00,208.8382,749045.7169,154577566.61,16684834,14886218,868.7819,5.207e-05,99066484864.61
2025-02-10 14:00:00,204.9327,893241.465,184501954.76,16796471,14972733,1207.6071,7.19e-05,101739158416.43
2025-02-10 15:00:00,203.3824,698832.3655,142418698.42,17193514,15359856,1282.1649,7.457e-05,99853076553.48
2025-02-10 16:00:00,203.534,456138.1784,92818181.22,17275221,15365502,1379.989,7.988e-05,99064435166.11
2025-02-10 17:00:00,203.8348,378173.248,76898850.1,17389732,15343230,1719.7652,9.89e-05,99266010633.51
2025-02-10 18:00:00,203.4795,267939.6391,54415284.29,17178705,15270993,1431.9068,8.335e-05,99376709591.74
2025-02-10 19:00:00,201.6363,298493.526,60458459.78,17186082,15226601,2237.4667,0.00013019,99117125079.7
2025-02-10 20:00:00,201.4073,402847.802,81412362.56,17114836,15116711,1802.8785,0.00010534,98258327508.83
2025-02-10 21:00:00,200.462,230220.77,46267248.65,17439933,15337010,2188.8921,0.00012551,98268436446.13
2025-02-10 22:00:00,200.3964,283239.6496,56788453.82,17083796,14994314,1619.3836,9.479e-05,97795944851.12
2025-02-10 23:00:00,200.7625,222027.4625,44497211.32,16856926,14864707,1677.1485,9.949e-05,97489665901.78
2025-02-11 00:00:00,202.0683,555300.2316,112208768.44,17160379,15159162,1785.4329,0.00010404,97685766115.04
2025-02-11 01:00:00,204.0745,529603.7145,107838442.61,15791181,13966961,1377.1359,8.721e-05,98861250385.35
2025-02-11 02:00:00,201.7007,535998.6155,108240780.43,17106220,15093264,1333.0501,7.793e-05,99601968949.62
2025-02-11 03:00:00,201.4222,250836.8164,50506362.86,17244128,15078075,1175.4235,6.816e-05,98289528956.54
2025-02-11 04:00:00,204.0166,698004.3177,141732800.79,17070388,15097627,901.7134,5.282e-05,98273731277.31
2025-02-11 05:00:00,205.2914,720550.4158,147455348.56,17129960,15115523,856.1271,4.998e-05,99388080034.39
2025-02-11 06:00:00,205.8934,433471.4798,88991204.64,17322330,15241883,835.7402,4.825e-05,100146809682.29
2025-02-11 07:00:00,204.69,338991.695,69639815.29,17015487,15054749,617.7495,3.631e-05,100440401099.68
2025-02-11 08:00:00,205.0495,754662.9417,154682286.79,16645197,14857539,486.8172,2.925e-05,99850174017.8
