timestamp,close_price,volume_base,volume_quote,transaction_count,total_value_transferred_doge,avg_fee_doge,total_size_used_bytes
2024-09-09 00:00:00,0.096494496,101894890.1428,9816816.76,2735,572278552.42,0.248428,1516465
2024-09-09 01:00:00,0.0972062483,322570942.8903,31246298.68,1452,298100357.87,0.481227,726535
2024-09-09 02:00:00,0.0972856698,132601192.0236,12874845.17,4179,772347699.94,0.219688,1611974
2024-09-09 03:00:00,0.0971373739,93016114.528,9003050.12,1931,192222690.54,0.49122,1371457
2024-09-09 04:00:00,0.0965939366,51916270.1538,5034658.42,5725,276286870.5,0.166231,2853268
2024-09-09 05:00:00,0.0962218752,52604110.6242,5075257.91,5444,228916950.82,0.138226,3163626
2024-09-09 06:00:00,0.0970890102,56040869.4687,5418864.88,4834,260880146.67,0.147569,2783189
2024-09-09 07:00:00,0.09724493,78453653.4144,7616009.39,6759,243738737.98,0.117653,2821634
2024-09-09 08:00:00,0.0977443708,92581222.9722,9024966.08,6287,209539347.65,0.163861,3577197
2024-09-09 09:00:00,0.0979622918,170135615.9861,16722778.25,7895,522024018.04,0.106991,3351435
2024-09-09 10:00:00,0.0985768556,89967576.9267,8863384.42,2748,258705929.45,0.277291,1123188
2024-09-09 11:00:00,0.0979510743,69035360.4223,6778706.7,2658,343726991.52,0.312188,1338349
2024-09-09 12:00:00,0.0981743999,75084741.1972,7339993.7,5884,307144509.26,0.152631,1987366
2024-09-09 13:00:00,0.0983851262,105185208.5335,10329364.35,9714,355567662.6,0.10109,2939687
2024-09-09 14:00:00,0.0973452514,122163375.623,11924460.2,13096,511204813.16,0.084412,3798250
2024-09-09 15:00:00,0.0989773787,147689069.4565,14539711.51,13595,350499389.98,0.075669,4062540
2024-09-09 16:00:00,0.1037701793,741298118.7803,75862715.31,11693,929036092.0,0.097981,3927800
2024-09-09 17:00:00,0.103415331,269019023.6823,27852154.83,8339,375195207.95,0.158053,2961500
2024-09-09 18:00:00,0.1037204678,196664349.5373,20348731.43,6351,319711289.23,0.169837,2547832
2024-09-09 19:00:00,0.1038812053,114308930.9819,11853558.63,11718,472067915.16,0.082871,3954164
2024-09-09 20:00:00,0.1040764383,91357576.7435,9483045.86,9207,253454552.11,0.134434,3441940
2024-09-09 21:00:00,0.1044809472,178495364.7295,18648657.07,5555,295684364.85,0.156844,2151581
2024-09-09 22:00:00,0.1034248634,115144477.8345,11947822.8,2533,306744736.15,0.338078,1030530
2024-09-09 23:00:00,0.1038771519,107710100.5837,11191659.03,2540,296278648.57,0.306915,1013634
2024-09-10 00:00:00,0.1033183762,165141832.558,17026213.21,1874,798628027.3,0.488376,763895
2024-09-10 01:00:00,0.1028197198,77064157.2504,7937613.35,4985,300858318.93,0.144788,1785406
2024-09-10 02:00:00,0.1026140574,68403607.52,7009827.18,7904,265729902.78,0.129039,3647099
2024-09-10 03:00:00,0.1025575942,64816201.0184,6657624.76,8454,209272199.85,0.118279,3344595
2024-09-10 04:00:00,0.1035761823,103901813.77,10711578.58,5056,187334755.65,0.137314,2239919
2024-09-10 05:00:00,0.1038557287,87248033.1145,9031634.78,10565,231938400.27,0.106977,3803708
2024-09-10 06:00:00,0.1034408703,54661711.9653,5659296.39,6948,609935546.15,0.11395,2819186
2024-09-10 07:00:00,0.1037960457,97325988.7666,10091445.0,8087,291132861.31,0.114277,4072349
2024-09-10 08:00:00,0.1041263006,92641328.2851,9632148.79,6651,247101277.8,0.135239,2877069
2024-09-10 09:00:00,0.104544254,89057933.5454,9280826.94,9112,244365683.47,0.095119,3936518
2024-09-10 10:00:00,0.1039511392,82767894.3673,8611967.18,8545,304053424.6,0.101812,2940183
2024-09-10 11:00:00,0.103789686,67376586.6945,6994896.58,3861,239709554.58,0.172827,1703726
2024-09-10 12:00:00,0.1031140703,91848969.0656,9506066.42,2125,211630541.48,0.326304,1212341
2024-09-10 13:00:00,0.1024987823,166912106.2831,17152764.43,4209,349877177.13,0.204324,1896566
2024-09-10 14:00:00,0.1022450957,176927772.251,18085390.01,4729,473542181.15,0.259914,2532157
2024-09-10 15:00:00,0.1017848334,114760672.4763,11742565.14,4336,311032044.42,0.303513,2306918
2024-09-10 16:00:00,0.1025924193,75192378.1163,7681850.66,3642,823905061.99,0.253522,1266378
2024-09-10 17:00:00,0.1025977204,86023897.4447,8840222.38,8819,596369641.01,0.112596,2479412
2024-09-10 18:00:00,0.1026926782,105923779.4809,10909615.71,9041,369954537.48,0.118673,2636676
2024-09-10 19:00:00,0.103135225,79227636.8465,8145422.06,4538,410921749.7,0.23015,1606901
2024-09-10 20:00:00,0.1029068938,61423541.6863,6333222.73,6870,436082196.09,0.143825,1994646
2024-09-10 21:00:00,0.1026257677,49456278.193,5084877.68,6550,281647088.34,0.135697,1867338
2024-09-10 22:00:00,0.1028045323,63786012.433,6562730.27,2586,412644501.62,0.317037,873253
2024-09-10 23:00:00,0.1028227544,44461892.5108,4576363.3,3439,159839168.59,0.210882,1341825
2024-09-11 00:00:00,0.1030109678,65235881.9134,6707670.42,2708,519356405.75,0.245746,1026987
2024-09-11 01:00:00,0.1017043428,114620373.2779,11716548.58,7803,365837616.2,0.097486,2671588
2024-09-11 02:00:00,0.1015539475,90588356.4396,9227346.67,15164,243350168.45,0.065238,5712792
2024-09-11 03:00:00,0.1011050993,96658214.4886,9779269.65,10263,278613049.51,0.095048,4514519
2024-09-11 04:00:00,0.0998051897,161125654.2268,16154356.32,10996,582351168.73,0.077942,4807708
2024-09-11 05:00:00,0.0999527503,117243065.3575,11700591.48,8827,176367679.16,0.075613,3440927
2024-09-11 06:00:00,0.1001365686,102710238.5973,10278592.68,9667,251869396.64,0.139014,4182409
2024-09-11 07:00:00,0.1010205981,91128417.6571,9166804.7,6654,271247182.53,0.117098,2513163
2024-09-11 08:00:00,0.1005673174,72369862.528,7289890.04,8492,571748163.25,0.101606,3171028
2024-09-11 09:00:00,0.1004784279,59141292.1037,5945648.65,6238,253511287.97,0.181644,2454442
2024-09-11 10:00:00,0.0999598914,89592839.2435,8967453.31,12216,281435087.18,0.068319,3615623
2024-09-11 11:00:00,0.1007617219,76549426.6477,7692746.56,9995,211050251.97,0.086439,2707141
2024-09-11 12:00:00,0.1006284174,180869623.3442,18195435.25,5700,796117627.61,0.130964,1724678
2024-09-11 13:00:00,0.0987010531,277601897.2578,27778570.35,10070,247628264.92,0.085972,2783840
2024-09-11 14:00:00,0.0987782682,176124772.543,17365541.35,8465,581829166.71,0.11099,2442263
2024-09-11 15:00:00,0.1000423772,146827869.1789,14609687.37,5350,266594249.47,0.174613,1615195
2024-09-11 16:00:00,0.1010123076,158683000.1541,15995672.92,5979,431894232.16,0.139322,1979777
2024-09-11 17:00:00,0.1016173669,94431690.9488,9585653.83,6991,364920198.76,0.143048,2235203
2024-09-11 18:00:00,0.1014707189,109677245.1003,11163787.59,5855,233960213.02,0.158246,1686660
2024-09-11 19:00:00,0.1016912893,55356170.3305,5618624.26,5763,504591267.37,0.160229,1755777
2024-09-11 20:00:00,0.1018585629,83166927.5568,8472955.31,8059,258563914.37,0.105328,2263012
2024-09-11 21:00:00,0.1013894582,59394542.3308,6040034.28,2748,256854015.77,0.246424,881290
2024-09-11 22:00:00,0.1013607275,60567250.7896,6135739.1,1892,177952716.23,0.385822,650661
2024-09-11 23:00:00,0.1013855678,51710047.2711,5243372.63,5832,197778213.59,0.137146,1976821
2024-09-12 00:00:00,0.1017578081,102638712.8292,10457165.41,13129,646485752.13,0.062935,4784917
2024-09-12 01:00:00,0.1022559765,81280568.5746,8290181.2,6261,211728300.7,0.142302,5882094
2024-09-12 02:00:00,0.1021183502,108984092.8588,11153729.59,6587,222771761.36,0.149829,5525488
2024-09-12 03:00:00,0.1023609993,56253088.0789,5765960.83,5452,247751634.6,0.198649,5639219
2024-09-12 04:00:00,0.1027414801,71912007.213,7388340.14,8683,193783775.49,0.101617,6821320
2024-09-12 05:00:00,0.1026680751,105007881.8201,10786801.23,9159,172281153.31,0.093311,7055942
2024-09-12 06:00:00,0.1022161395,87232453.9455,8934487.48,3731,242138135.7,0.242211,4325936
2024-09-12 07:00:00,0.1026016056,92423151.2459,9474599.78,4159,298523822.29,0.190284,2679956
2024-09-12 08:00:00,0.1022743827,55891786.6437,5733703.34,3290,366360048.06,0.348227,2121271
2024-09-12 09:00:00,0.102086201,68404701.0471,6996514.62,5765,285235955.33,0.152799,2160651
2024-09-12 10:00:00,0.101702166,70349428.6862,7174328.06,12264,228541472.39,0.08225,4096971
2024-09-12 11:00:00,0.1019641825,47280784.1302,4817520.84,3931,268503236.77,0.26627,1956549
2024-09-12 12:00:00,0.1014545121,118114727.445,12023181.06,9247,337462849.14,0.096782,3304971
2024-09-12 13:00:00,0.101227809,135989903.1214,13799755.53,3779,323778407.98,0.2744,1853740
2024-09-12 14:00:00,0.1015780527,161906623.7439,16514064.22,3706,290295458.67,0.256406,1766966
2024-09-12 15:00:00,0.1007139585,160308472.2986,16214157.04,5015,356146139.18,0.192772,2297562
2024-09-12 16:00:00,0.1012715543,61659881.8769,6232324.75,14349,535780721.79,0.18423,4369601
2024-09-12 17:00:00,0.1020302717,84357261.2079,8582888.04,12856,316305697.33,0.081097,4588980
2024-09-12 18:00:00,0.1019198295,59860131.5385,6104067.22,9368,351791522.41,0.109743,3578614
2024-09-12 19:00:00,0.1025225582,61807999.1292,6324522.06,7512,334936666.62,0.146085,2995688
2024-09-12 20:00:00,0.1020740605,50329465.5053,5143657.61,2988,216984209.07,0.26218,1408377
2024-09-12 21:00:00,0.1021168105,65605683.3452,6695357.22,2408,256356115.74,0.408091,1191727
2024-09-12 22:00:00,0.1034156812,127233061.6796,13096841.36,6459,227571466.34,0.141893,2530109
2024-09-12 23:00:00,0.1027686925,58357255.9263,6010929.73,18943,309878235.77,0.056085,6274942
2024-09-13 00:00:00,0.1026140143,94300525.3314,9682259.73,15014,669010076.66,0.060599,4969084
2024-09-13 01:00:00,0.1022674398,78510986.7314,8024709.16,18885,344626801.43,0.054738,6458560
2024-09-13 02:00:00,0.1021652254,49636789.4595,5072030.71,18204,178801111.79,0.057566,6299723
2024-09-13 03:00:00,0.1019384416,47643745.8528,4866786.25,21123,256958107.42,0.058534,7337628
2024-09-13 04:00:00,0.1020816464,49999183.7315,5106103.63,12364,203084882.96,0.075303,4995976
2024-09-13 05:00:00,0.1032873056,309627581.2972,31996656.43,31265,232980845.88,0.042113,10380683
2024-09-13 06:00:00,0.1030348819,76655321.0647,7896712.68,22430,269636841.73,0.047525,7615405
2024-09-13 07:00:00,0.1035323295,81594183.5443,8420517.59,21967,289802451.61,0.050064,7652953
2024-09-13 08:00:00,0.1040299061,166345658.8011,17307873.32,26616,290240040.38,0.049395,9358697
2024-09-13 09:00:00,0.1051965885,189271936.0185,19917468.31,15215,359528913.2,0.068259,5550068
2024-09-13 10:00:00,0.1064500427,230488189.9032,24454619.92,11060,359420104.41,0.103044,4114198
2024-09-13 11:00:00,0.1044380483,165599872.8708,17467544.43,18084,396955484.36,0.055915,6272879
2024-09-13 12:00:00,0.1049830523,198716649.0074,20764525.22,17081,267409854.16,0.067685,6143651
2024-09-13 13:00:00,0.1054334056,107989469.499,11356656.42,14844,337094771.65,0.076777,5259944
2024-09-13 14:00:00,0.1069255829,246932907.4473,26313750.7,18562,423596358.71,0.073241,6422474
2024-09-13 15:00:00,0.1080368917,411910593.2411,44495136.53,18659,408278311.16,0.075083,6742478
2024-09-13 16:00:00,0.1070398396,184137877.8177,19788284.22,20658,688270782.7,0.077028,7119810
2024-09-13 17:00:00,0.1069065863,127001381.9246,13623036.13,15715,309589497.65,0.076638,5490098
2024-09-13 18:00:00,0.1070829793,132099976.5019,14143004.28,12326,330140464.3,0.081872,4262905
2024-09-13 19:00:00,0.1065595916,77065550.8063,8227320.74,20767,211585544.63,0.05595,7061172
2024-09-13 20:00:00,0.1072873772,53362484.0192,5714879.65,34423,171020388.37,0.043737,11685089
2024-09-13 21:00:00,0.1075759578,87139163.3733,9373458.89,17046,163364478.56,0.066011,6090536
2024-09-13 22:00:00,0.107416432,102283863.5148,11005292.4,21937,256603316.41,0.049901,7574350
2024-09-13 23:00:00,0.107102926,79145784.383,8466545.6,15759,202521292.52,0.060454,5334732
2024-09-14 00:00:00,0.1073636381,100443918.6332,10783778.46,21914,190500370.01,0.044427,7380956
2024-09-14 01:00:00,0.1070480312,61905012.1093,6649635.54,42924,178999187.67,0.032641,13998372
2024-09-14 02:00:00,0.1070674963,46763415.532,5019437.4,15785,158692630.04,0.065213,5540693
2024-09-14 03:00:00,0.1072203565,41779471.3898,4478107.82,17216,181825402.58,0.081313,6528737
2024-09-14 04:00:00,0.1067912149,272540202.6813,29189662.6,8921,199269875.75,0.090128,3752409
2024-09-14 05:00:00,0.1064264331,79603114.1798,8507527.15,3521,275817464.54,0.269553,2000099
2024-09-14 06:00:00,0.1073967498,101476179.6199,10860168.77,3879,281229281.94,0.272957,1849226
2024-09-14 07:00:00,0.1068463346,51250704.9693,5486409.7,2364,226316875.38,0.396502,1539324
2024-09-14 08:00:00,0.1066346001,57534430.9573,6141303.63,5311,334106494.2,0.198744,2404793
2024-09-14 09:00:00,0.1063669467,82884606.3066,8816932.68,9445,163488493.74,0.091455,3588105
2024-09-14 10:00:00,0.1057652578,77438345.0242,8211168.3,14040,158636207.79,0.061059,5043502
2024-09-14 11:00:00,0.1054309094,112825703.9989,11889928.55,24974,190912204.37,0.040326,8470477
2024-09-14 12:00:00,0.1056759315,71294670.0378,7534245.44,28143,164835267.69,0.040685,9492911
2024-09-14 13:00:00,0.1056397715,83501021.2868,8802859.66,18909,180909347.0,0.063606,6381372
2024-09-14 14:00:00,0.1063199355,149854357.7088,15907312.06,25250,296289096.37,0.051931,8547958
2024-09-14 15:00:00,0.1056464427,98395982.0953,10431217.3,30662,210426065.59,0.05109,10288661
2024-09-14 16:00:00,0.1054489378,69185816.2921,7302712.63,26226,223919743.02,0.049167,8849885
2024-09-14 17:00:00,0.1051618834,71963988.3204,7570713.54,38446,266110786.62,0.036244,12311810
2024-09-14 18:00:00,0.105091229,106664707.9569,11180097.49,35759,281586061.47,0.039803,11301382
2024-09-14 19:00:00,0.1051327402,34435800.3025,3618122.37,24093,304114390.65,0.058904,7750239
2024-09-14 20:00:00,0.1054514668,59268042.3592,6243482.62,25653,238052773.72,0.044144,7828773
2024-09-14 21:00:00,0.1054928116,35662489.5725,3761872.35,25619,157137084.32,0.040957,8020645
2024-09-14 22:00:00,0.105581296,46236708.2271,4878302.26,2189,187391848.77,0.333378,1260827
2024-09-14 23:00:00,0.1054620892,33151451.4181,3500508.78,4493,148939532.16,0.152354,1871228
2024-09-15 00:00:00,0.1058069148,75531695.8331,7997232.48,6588,281108181.5,0.114487,2061606
2024-09-15 01:00:00,0.1063676421,63433339.353,6740722.0,16445,391700779.04,0.075101,6118993
2024-09-15 02:00:00,0.1059402188,73995000.4156,7838823.31,30604,296059360.9,0.03987,10075450
2024-09-15 03:00:00,0.1058435318,81865796.1693,8676463.18,17048,171389084.18,0.067716,5790266
2024-09-15 04:00:00,0.1052646218,55400308.7285,5849339.31,23160,227498912.1,0.036162,7893618
2024-09-15 05:00:00,0.1051523598,59058014.356,6224854.08,15332,225461510.31,0.065333,5528488
2024-09-15 06:00:00,0.105633188,47118929.3865,4977325.01,15852,478753532.16,0.048699,5290493
2024-09-15 07:00:00,0.1058666478,45279335.563,4789267.18,31171,117496471.46,0.036032,10268388
2024-09-15 08:00:00,0.1057238048,51423120.2407,5438228.67,32799,188096883.31,0.033172,10178337
2024-09-15 09:00:00,0.1053874595,70409790.3582,7426360.02,29258,172507925.2,0.034888,9186887
2024-09-15 10:00:00,0.1049435834,115082075.6356,12074399.47,19872,272858653.59,0.046894,6776625
