timestamp,transaction_count,total_value_transferred_doge,avg_fee_doge,total_size_used_bytes
2024-01-08 03:00:00,6830,416490906.88,0.223342,4258859
2024-01-08 04:00:00,4010,396294665.22,0.284826,3327344
2024-01-08 05:00:00,3271,220601370.72,0.340093,2759851
2024-01-08 06:00:00,3625,536094348.77,0.379185,3174890
2024-01-08 07:00:00,3383,270785406.96,0.342185,2976071
2024-01-08 08:00:00,2681,571917995.7,0.348502,2254799
2024-01-08 09:00:00,3883,374899230.01,0.387971,3171908
2024-01-08 10:00:00,2965,387819563.88,0.364855,2634202
2024-01-08 11:00:00,3460,400759109.25,0.398243,3040929
2024-01-08 12:00:00,3099,297649970.54,0.386008,2696218
2024-01-08 13:00:00,4279,408401590.81,0.419977,3513581
2024-01-08 14:00:00,4258,374077604.73,0.396963,3185929
2024-01-08 15:00:00,5289,360656272.43,0.309534,3644659
2024-01-08 16:00:00,5350,625233278.42,0.321563,3638287
2024-01-08 17:00:00,4857,277816699.98,0.337505,3505822
2024-01-08 18:00:00,7812,557997717.01,0.244468,4367355
2024-01-08 19:00:00,5138,561103327.09,0.33741,2918405
2024-01-08 20:00:00,6363,386287755.79,0.379812,4631662
2024-01-08 21:00:00,6184,348926165.32,0.287938,3466377
2024-01-08 22:00:00,4582,391522526.11,0.284476,2930501
2024-01-08 23:00:00,7176,252986760.17,0.212638,3831513
2024-01-09 00:00:00,2486,386084416.39,0.512809,1398836
2024-01-09 01:00:00,2280,146657239.75,0.469771,1262037
2024-01-09 02:00:00,2496,1137143109.72,0.543842,1871298
2024-01-09 03:00:00,2654,170258897.54,0.464323,1526169
2024-01-09 04:00:00,4003,360572311.46,0.229344,1818782
2024-01-09 05:00:00,4592,247175565.62,0.217088,2279876
2024-01-09 06:00:00,2597,371552085.89,0.395817,1623058
2024-01-09 07:00:00,2846,298709053.13,0.373919,1820893
2024-01-09 08:00:00,3296,543804039.29,0.387117,2501239
2024-01-09 09:00:00,3000,193074955.81,0.410298,2073063
2024-01-09 10:00:00,2968,575063054.67,0.434432,1913467
2024-01-09 11:00:00,3232,1367252706.7,0.410553,1979575
